"HolderAddress","Balance","PendingBalanceUpdate"
"0x49e7a70f622bfaa30145815b3fd7df7faac747eb","1000","No"
"0x49f2495a1fb4fd0fc90a10706b598b4594409a88","1000","No"
"0x4a8002c48c0ce508f1f7cf4297380acb7a97c50e","30600","No"
"0x4bab464da1bf310b60b4b1bf0bb15932be61d6dd","1000","No"
"0x4bacb7664404f1a6157d37ea2dcd1669a556d562","1000","No"
"0x4bbb41f61fffc1bbe65a2aa192c65281e16ea758","1000","No"
"0x4c4d793b848014b02a176ffdace6babe96454fb3","1000","No"
"0x4e0030aa2b1aeb26016095b56c01c9742113001c","1000","No"
"0x4f942119e6ab0a6e4368e795d1d64291a3ff0da4","18325.6396","No"
"0x4f9ebc78810951317625736c9783635c343d2f82","1200","No"
"0x50cde770461ef53b62e083313d64b5b274b4bb78","1000","No"
"0x50f808e2876c025a2322883eb084c58528cf930d","1000","No"
"0x5154dceeadd948111678616de0394a4544e3abe4","6000","No"
"0x51ec5e1b8b3c4c6bae49619e657f94c4ad577b45","1000","No"
"0x52af787439a82f36d6ef6b0da0f0e5ecce29ff90","1000","No"
"0x52c2d084e523463f9e287f9b6aa85764cfd88f18","1000","No"
"0x52d7e31678d712ee8c15ca5af10babc257e5b61a","1000","No"
"0x537265e3fa15c839e445a483e8428e2dd627d00c","1000","No"
"0x53c1ee14ab9119aac27ef6dfc7f6ed7e55510357","1000","No"
"0x53dda0a69992b87e51f0f14b1337281f09a2c8da","3000","No"
"0x53e3514b9a89f27babdeeb6579d97628a90ff323","1000","No"
"0x5400db91661ad2b2a5664caaf81c5cae8aaff514","1000","No"
"0x5445092634581774a680e4dedd4ec9bfc35a26fd","1000","No"
"0x547e4f8fce41fe8e46dbe7554b9153ea087311d7","1000","No"
"0x54fcfccdcaabd65e107a33edfc0e83ee2c621ec0","1000","No"
"0x552f01d67b352aaa38bc675e30ced97f2451df63","1000","No"
"0x5681b90ff9ce010dbccd9c9dcb36f8c16ac7d967","92.6625","No"
"0x5698daf2c0cf116d6c8040bca027bfbcfd3ffcc7","1000","No"
"0x56de39fed566f064dd9c5baba75c4c6e6d61f130","1000","No"
"0x56ebf8c025be621ff3763c664ca34aef60304661","1000","No"
"0x56fcb471a9dde74045830439ad6612c9aad53c19","7894199.995","No"
"0x574d479d8cf0437b440ce692dd7c8f07c4e9bbed","1000","No"
"0x5783e73dced23314aa7764f1d7cf59d32ba03944","1000","No"
"0x57dd7f7dec129f623eb9dda3acd900be2619200f","3000","No"
"0x59a5493513ba2378ed57ae5ecfb8a027e9d80365","1000","No"
"0x5aeedbc6b655c13950f32e5e8a0760d15bbe0afb","5000","No"
"0x5b06b44a66e5345661f6e4596f3a20da19eec1ee","1000","No"
"0x5b824fd39fe8d3cb6596c937bdc2a76bc9f9b3b7","1000","No"
"0x5b93ff82faaf241c15997ea3975419dddd8362c5","1000","No"
"0x5ca8e2b247d4dd1505677e5ed58f1c8221a507bf","1000","No"
"0x5cf4e7e1fabefd366512b60f1509a678c0a43e48","1000","No"
"0x5e2889eb037aeac4f64fbb9856514f6dfebada63","1000","No"
"0x5f97e9814fcbfc41ad6b9dd981d72832a193a2be","1000","No"
"0x603a8fd9c4d35dd8ddd41fc8a0d711777334b3f1","3000","No"
"0x606d2c436a07be40c276a6176bb1376c34e49ee9","1000","No"
